,condition,filename,path,sample,timestring,timepoint,chir_start,chir_end,fgf_start,fgf_end,pd_start,pd_end,is_reference,ncells
0,NO CHIR,D2_A1_A01_002.fcs .csv,data/Dataset_A/CSV_Exported/D2_A1_A01_002.fcs .csv,2,D2,2.0,-1.0,-1.0,0.0,3.0,-1.0,-1.0,True,7200
1,NO CHIR,D2.5_A2_A02_003.fcs .csv,data/Dataset_A/CSV_Exported/D2.5_A2_A02_003.fcs .csv,0,D2.5,2.5,-1.0,-1.0,0.0,3.0,-1.0,-1.0,True,7200
2,NO CHIR,D3_A4_A04_005.fcs .csv,data/Dataset_A/CSV_Exported/D3_A4_A04_005.fcs .csv,9,D3,3.0,-1.0,-1.0,0.0,3.0,-1.0,-1.0,True,7200
3,NO CHIR,D3.5_A7_A07_008.fcs .csv,data/Dataset_A/CSV_Exported/D3.5_A7_A07_008.fcs .csv,3,D3.5,3.5,-1.0,-1.0,0.0,3.0,-1.0,-1.0,True,7200
4,NO CHIR,D4_A11_A11_012.fcs .csv,data/Dataset_A/CSV_Exported/D4_A11_A11_012.fcs .csv,22,D4,4.0,-1.0,-1.0,0.0,3.0,-1.0,-1.0,True,7200
5,NO CHIR,D4.5_B4_B04_017.fcs .csv,data/Dataset_A/CSV_Exported/D4.5_B4_B04_017.fcs .csv,12,D4.5,4.5,-1.0,-1.0,0.0,3.0,-1.0,-1.0,True,7200
6,NO CHIR,D5_B10_B10_023.fcs .csv,data/Dataset_A/CSV_Exported/D5_B10_B10_023.fcs .csv,30,D5,5.0,-1.0,-1.0,0.0,3.0,-1.0,-1.0,True,7200
7,CHIR 2-2.5,D2_A1_A01_002.fcs .csv,data/Dataset_A/CSV_Exported/D2_A1_A01_002.fcs .csv,2,D2,2.0,2.0,2.5,0.0,3.0,-1.0,-1.0,False,7200
8,CHIR 2-2.5,D2.5_C_A3_A03_004.fcs .csv,data/Dataset_A/CSV_Exported/D2.5_C_A3_A03_004.fcs .csv,1,D2.5,2.5,2.0,2.5,0.0,3.0,-1.0,-1.0,False,7200
9,CHIR 2-2.5,D3_C2-2.5_A5_A05_006.fcs .csv,data/Dataset_A/CSV_Exported/D3_C2-2.5_A5_A05_006.fcs .csv,10,D3,3.0,2.0,2.5,0.0,3.0,-1.0,-1.0,False,7200
10,CHIR 2-2.5,D3.5_C2-2.5_A8_A08_009.fcs .csv,data/Dataset_A/CSV_Exported/D3.5_C2-2.5_A8_A08_009.fcs .csv,4,D3.5,3.5,2.0,2.5,0.0,3.0,-1.0,-1.0,False,7200
11,CHIR 2-2.5,D4_C2-2.5_A12_A12_013.fcs .csv,data/Dataset_A/CSV_Exported/D4_C2-2.5_A12_A12_013.fcs .csv,23,D4,4.0,2.0,2.5,0.0,3.0,-1.0,-1.0,False,7200
12,CHIR 2-2.5,D4.5_C2-2.5_B5_B05_018.fcs .csv,data/Dataset_A/CSV_Exported/D4.5_C2-2.5_B5_B05_018.fcs .csv,13,D4.5,4.5,2.0,2.5,0.0,3.0,-1.0,-1.0,False,7200
13,CHIR 2-2.5,D5_C2-2.5_B11_B11_024.fcs .csv,data/Dataset_A/CSV_Exported/D5_C2-2.5_B11_B11_024.fcs .csv,31,D5,5.0,2.0,2.5,0.0,3.0,-1.0,-1.0,False,7200
14,CHIR 2-3,D2_A1_A01_002.fcs .csv,data/Dataset_A/CSV_Exported/D2_A1_A01_002.fcs .csv,2,D2,2.0,2.0,3.0,0.0,3.0,-1.0,-1.0,True,7200
15,CHIR 2-3,D2.5_C_A3_A03_004.fcs .csv,data/Dataset_A/CSV_Exported/D2.5_C_A3_A03_004.fcs .csv,1,D2.5,2.5,2.0,3.0,0.0,3.0,-1.0,-1.0,True,7200
16,CHIR 2-3,D3_C2-3_A6_A06_007.fcs .csv,data/Dataset_A/CSV_Exported/D3_C2-3_A6_A06_007.fcs .csv,11,D3,3.0,2.0,3.0,0.0,3.0,-1.0,-1.0,True,7200
17,CHIR 2-3,D3.5_C2-3_A9_A09_010.fcs .csv,data/Dataset_A/CSV_Exported/D3.5_C2-3_A9_A09_010.fcs .csv,6,D3.5,3.5,2.0,3.0,0.0,3.0,-1.0,-1.0,True,7200
18,CHIR 2-3,D4_C2-3_B1_B01_014.fcs .csv,data/Dataset_A/CSV_Exported/D4_C2-3_B1_B01_014.fcs .csv,25,D4,4.0,2.0,3.0,0.0,3.0,-1.0,-1.0,True,7200
19,CHIR 2-3,D4.5_C2-3_B6_B06_019.fcs .csv,data/Dataset_A/CSV_Exported/D4.5_C2-3_B6_B06_019.fcs .csv,15,D4.5,4.5,2.0,3.0,0.0,3.0,-1.0,-1.0,True,7200
20,CHIR 2-3,D5_C2-3_B12_B12_025.fcs .csv,data/Dataset_A/CSV_Exported/D5_C2-3_B12_B12_025.fcs .csv,33,D5,5.0,2.0,3.0,0.0,3.0,-1.0,-1.0,True,7200
21,CHIR 2-3.5,D2_A1_A01_002.fcs .csv,data/Dataset_A/CSV_Exported/D2_A1_A01_002.fcs .csv,2,D2,2.0,2.0,3.5,0.0,3.0,-1.0,-1.0,False,7200
22,CHIR 2-3.5,D2.5_C_A3_A03_004.fcs .csv,data/Dataset_A/CSV_Exported/D2.5_C_A3_A03_004.fcs .csv,1,D2.5,2.5,2.0,3.5,0.0,3.0,-1.0,-1.0,False,7200
23,CHIR 2-3.5,D3_C2-3_A6_A06_007.fcs .csv,data/Dataset_A/CSV_Exported/D3_C2-3_A6_A06_007.fcs .csv,11,D3,3.0,2.0,3.5,0.0,3.0,-1.0,-1.0,False,7200
24,CHIR 2-3.5,D3.5_C2-3.5_A10_A10_011.fcs .csv,data/Dataset_A/CSV_Exported/D3.5_C2-3.5_A10_A10_011.fcs .csv,5,D3.5,3.5,2.0,3.5,0.0,3.0,-1.0,-1.0,False,7200
25,CHIR 2-3.5,D4_C2-3.5_B2_B02_015.fcs .csv,data/Dataset_A/CSV_Exported/D4_C2-3.5_B2_B02_015.fcs .csv,24,D4,4.0,2.0,3.5,0.0,3.0,-1.0,-1.0,False,7200
26,CHIR 2-3.5,D4.5_C2-3.5_B7_B07_020.fcs .csv,data/Dataset_A/CSV_Exported/D4.5_C2-3.5_B7_B07_020.fcs .csv,14,D4.5,4.5,2.0,3.5,0.0,3.0,-1.0,-1.0,False,7200
